Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Model
2009,37000,Petrol,Automatic,16.95,1197.0,78.9,5.0,2.95,hyundai i10
2016,28503,Petrol,Automatic,19.0,1199.0,88.7,5.0,6.86,honda jazz
2015,76496,Diesel,Manual,25.2,1248.0,74.0,5.0,6.15,suzuki swift
2011,79152,Petrol,Manual,18.5,1197.0,82.85,5.0,3.3,hyundai i20
2011,32000,Petrol,Manual,16.47,1198.0,73.9,5.0,2.55,volkswagen polo
2009,35000,Petrol,Manual,19.7,796.0,46.3,5.0,1.5,suzuki alto
2004,105000,Petrol,Automatic,11.3,1794.0,125.0,5.0,2.5,toyota corolla
2006,56000,Petrol,Manual,19.7,796.0,46.3,5.0,1.4,suzuki alto
2012,73000,Diesel,Manual,21.12,1248.0,88.8,5.0,3.4,tata manza
2012,38000,Petrol,Manual,19.7,796.0,46.3,5.0,2.25,suzuki alto
2008,80000,Petrol,Automatic,11.3,1794.0,125.0,5.0,2.8,toyota corolla
2016,24973,Petrol,Manual,18.6,1197.0,81.83,5.0,7.66,hyundai i20
2016,45000,Diesel,Manual,24.3,1248.0,88.5,5.0,7.15,suzuki vitara
2010,87430,Petrol,Manual,17.0,1497.0,118.0,5.0,3.5,honda city
2014,133944,Diesel,Manual,18.0,1248.0,75.0,5.0,3.5,tata indica
2013,57000,Diesel,Manual,25.8,1498.0,98.6,5.0,3.45,honda amaze
2016,27904,Petrol,Manual,21.1,814.0,55.2,5.0,3.55,hyundai eon
2012,80000,Diesel,Manual,22.32,1582.0,126.32,5.0,5.25,hyundai verna
2013,47304,Diesel,Manual,21.02,1248.0,88.8,5.0,2.9,tata manza
2005,100000,Petrol,Automatic,14.45,1984.0,227.0,5.0,2.05,skoda octavia
2017,30000,Petrol,Manual,24.07,998.0,67.1,5.0,3.75,suzuki alto
2014,68000,Diesel,Manual,22.7,1498.0,89.84,5.0,6.75,ford ecosport
2011,21000,Petrol,Manual,18.0,995.0,62.0,5.0,0.95,chevrolet spark
2007,119000,Petrol,Manual,13.1,1997.0,141.1,5.0,3.91,honda cr-v
2013,70000,Diesel,Manual,22.9,1248.0,74.0,5.0,3.5,suzuki swift
2016,18000,Petrol,Automatic,18.5,1197.0,83.14,5.0,6.2,suzuki swift
2011,83000,Diesel,Manual,23.08,1461.0,63.1,5.0,2.75,nissan micra
2015,130000,Diesel,Manual,23.4,1248.0,74.0,5.0,3.25,suzuki swift
2012,63400,Diesel,Manual,17.8,1399.0,67.0,5.0,3.25,ford fiesta
2003,65000,Petrol,Manual,17.3,993.0,60.0,5.0,0.65,suzuki zen
2014,45000,Diesel,Manual,23.59,1364.0,67.05,5.0,3.25,toyota etios
2018,26200,Petrol,Manual,24.7,796.0,47.3,5.0,2.9,suzuki alto
2011,11000,Petrol,Manual,18.9,796.0,47.0,5.0,2.9,suzuki alto
2015,37081,Petrol,Automatic,18.9,1197.0,82.0,5.0,5.77,hyundai grand
2017,39000,Diesel,Manual,24.3,1248.0,88.5,5.0,9.49,suzuki vitara
2015,38000,Diesel,Automatic,17.9,2143.0,136.0,5.0,20.0,mercedes-benz gla
2015,93000,Diesel,Manual,20.45,1461.0,83.8,5.0,7.1,renault duster
2017,5900,Diesel,Manual,21.43,1364.0,87.2,5.0,16.5,toyota corolla
2010,68000,Diesel,Manual,21.1,1248.0,73.9,5.0,3.2,suzuki ritz
2015,74310,Diesel,Manual,24.4,1120.0,71.0,5.0,4.0,hyundai xcent
2014,41380,Petrol,Automatic,14.8,1595.0,120.7,5.0,11.77,mercedes-benz b
2016,28000,Petrol,Manual,17.8,1497.0,117.3,5.0,8.75,honda city
2011,93982,Petrol,Manual,17.0,1497.0,118.0,5.0,3.75,honda city
2010,95000,Petrol,Manual,16.2,1599.0,103.2,5.0,2.5,hyundai verna
2015,52516,Petrol,Manual,18.0,1198.0,86.7,5.0,4.65,honda amaze
2014,37000,Petrol,Manual,21.1,814.0,55.2,5.0,3.25,hyundai eon
2014,17400,Petrol,Manual,20.51,998.0,67.04,5.0,3.1,suzuki wagon
2011,90207,Diesel,Manual,21.1,1248.0,73.9,5.0,3.91,suzuki ritz
2011,89616,Diesel,Automatic,16.07,1995.0,181.0,5.0,11.0,bmw 3
2010,125000,Petrol,Manual,19.7,796.0,46.3,5.0,0.92,suzuki alto
2013,53000,Petrol,Manual,14.0,1061.0,64.0,5.0,2.75,suzuki wagon
2011,49768,Petrol,Manual,17.01,1591.0,121.3,5.0,4.95,hyundai verna
2010,57000,Petrol,Automatic,13.7,1798.0,157.75,5.0,7.25,skoda superb
2013,35299,Diesel,Automatic,14.84,2143.0,170.0,5.0,19.0,mercedes-benz new
2017,28464,Diesel,Manual,15.4,2179.0,120.0,7.0,13.05,mahindra scorpio
2005,5834,Petrol,Manual,13.2,1495.0,94.0,5.0,0.8,hyundai accent
2017,40250,Petrol,Manual,17.19,1197.0,81.86,5.0,6.9,hyundai i20
2015,20800,Petrol,Manual,21.1,814.0,55.2,5.0,2.25,hyundai eon
2018,40322,Petrol,Manual,18.9,1197.0,81.86,5.0,5.5,hyundai grand
2013,52576,Petrol,Manual,13.0,1493.0,100.0,5.0,4.35,honda city
2010,55000,Petrol,Manual,16.47,1198.0,73.9,5.0,2.25,volkswagen polo
2016,47000,Petrol,Automatic,15.26,1798.0,187.74,5.0,24.5,audi a6
2017,23163,Petrol,Manual,15.29,1591.0,121.3,5.0,12.03,hyundai creta
